ad,06,parroquia de sant julia de loria
ad,05,parroquia d'ordino
ad,04,parroquia de la massana
ad,03,parroquia d'encamp
ad,02,canillo
ad,07,parroquia d'andorra la vella
ad,08,parroquia d'escaldes-engordany
ae,07,umm al qaywayn
ae,05,ra's al khaymah
ae,03,dubai
ae,06,ash shariqah
ae,04,al fujayrah
ae,02,ajman
ae,01,abu dhabi
af,28,zabul
af,27,vardak
af,26,takhar
af,33,sar-e pol
af,32,samangan
af,40,parvan
af,29,paktika
af,36,paktia
af,39,oruzgan
af,19,nimruz
af,18,nangarhar
af,17,lowgar
af,35,laghman
af,24,kunduz
af,34,konar
af,14,kapisa
af,23,kandahar
af,13,kabul
af,31,jowzjan
af,11,herat
af,10,helmand
af,09,ghowr
af,08,ghazni
af,07,faryab
af,06,farah
af,05,bamian
af,30,balkh
af,03,wilayat-e baghlan
af,02,badghis
af,01,badakhshan
af,37,khowst
af,38,nurestan
af,41,wilayat-e daykundi
af,42,panjshir
ag,08,saint philip
ag,07,saint peter
ag,06,saint paul
ag,05,saint mary
ag,04,saint john
ag,03,saint george
ag,09,redonda
ag,01,barbuda
al,40,berat
al,41,diber
al,43,elbasan
al,45,gjirokaster
al,46,korce
al,47,kukes
al,42,durres
al,44,fier
al,48,lezhe
al,49,shkoder
al,50,tirane
al,51,vlore
am,02,ararat
am,08,syunik'i marz
am,10,vayots' dzori marz
am,11,yerevan
am,01,aragatsotn
am,03,armavir
am,04,geghark'unik'i marz
am,05,kotayk'i marz
am,06,lorri
am,07,shirak
am,09,tavush
ao,18,lunda sul
ao,17,lunda norte
ao,14,moxico
ao,04,cuando cubango
ao,16,zaire
ao,15,uige
ao,12,malanje
ao,20,luanda
ao,05,cuanza norte
ao,03,cabinda
ao,19,bengo
ao,13,namibe
ao,09,huila
ao,08,huambo
ao,07,cunene
ao,06,cuanza sul
ao,02,bie
ao,01,benguela
ar,14,misiones
ar,09,formosa
ar,07,buenos aires f.d.
ar,08,entre rios
ar,06,corrientes
ar,01,buenos aires
ar,24,tucuman
ar,23,tierra del fuego
ar,22,santiago del estero
ar,21,santa fe
ar,20,santa cruz
ar,19,san luis
ar,18,san juan
ar,17,salta
ar,16,rio negro
ar,15,neuquen
ar,13,mendoza
ar,12,la rioja
ar,11,la pampa
ar,10,jujuy
ar,05,cordoba
ar,04,chubut
